Membre de SDC,Catégorie,Château / Entreprise,Apparaît dans la bible ? ,type de vins princiapl,Statut de la demande,Pôle concerné,mail,Téléphone,Prénom,Nom,Région,Mail,Poste,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ?,"Si oui, quel type ?"
Marin/ Quentin/Marine,Démarchage en nature,Domaine du Coulet,Non,rouge,relance faite,Pôle concerné,matthieu.barret@domaineducoulet.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Coursodon,Non,rouge,relance faite,Pôle concerné,domaine@coursodon.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Belle,Non,rouge,relance faite,Pôle concerné,contact@domainebelle.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Monier-Perréol,Non,,Non contacté,Pôle concerné,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Emmanuel Darnaud,Non,,"Contacté, sans réponse",Pôle concerné,domaine@edarnaud.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine François Merlin,Non,,"Contacté, sans réponse",Pôle concerné,domainef.merlin@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Vincent Paris,Non,,mauvais mail,Pôle concerné,vinsparis@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Faury,Non,rouge,relance faite,Pôle concerné,contact@domaine-faury.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Bernard Faurie,Non,rouge,Non contacté,Pôle concerné,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine François-Xavier Nicolas,Non,rouge,"Contacté, sans réponse",Pôle concerné,contact@fxnicolas.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Richard,Non,rouge,Non contacté,Pôle concerné,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Laurent Combier,Non,rouge,Non contacté,Pôle concerné,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine François Dumas,Non,rouge,Non contacté,Pôle concerné,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Pierre Gonon,Non,rouge,Non contacté,Pôle concerné,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Gilles Robin,Non,rouge,relance faite,Pôle concerné,domaine@gillesrobin.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Duclaux,Non,rouge,relance faite,Pôle concerné,contact@coterotie-duclaux.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Leccia,Non,rouge,relance faite,Pôle concerné,contact@domaine-leccia.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Antoine Arena,Non,,"Contacté, sans réponse",Pôle concerné,"""jeanbaptiste.arena@orange.fr"" ",,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Santini,Non,rouge,relance faite,Pôle concerné,domaine.francksantini@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Teddi,Non,rouge,relance faite,Pôle concerné,clos.teddi@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Gentile,Non,rouge,relance faite,Pôle concerné,domaine.gentile@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Orenga de Gaffory,Non,,relance faite,Pôle concerné,contact@orengadegaffory.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Giudicelli,Non,,mauvais mail,Pôle concerné,muriel.giudicelli@wanadoo.fr,,domaine.giudicelli@gmail.com,,,,,,,,,,,,
,Démarchage en nature,Domaine Devichi,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Poli,,,relance faite,,clos.alivu@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Yves Leccia,,,mauvais mail,,info@yves-leccia.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Lazzarini,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Clos de Bernardi,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Montemagni,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Alivu,,,"Contacté, sans réponse",,clos.alivu@orange.fr,,,,,,,,,,,,,,
,Démarchage en nature,Clos Venturi,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Marfisi,,,relance faite,,julie.marfisi@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Comte Abbatucci,,,relance faite,,contact@domaine-abbatucci.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Capitoro,,,relance faite,,info@clos-capitoro.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Peraldi,,,relance faite,,info@domaineperaldi.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos d’Alzeto,,,relance faite,,contact@closdalzeto.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Vaccelli,,,relance faite,,vaccelli@aol.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Mosconi,,,mauvais mail,,infos@domainemosconi.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Ornasca,,,relance faite,,closornasca@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine A Peraccia,,,relance faite,,domaine.aperaccia@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Pietrella,,,relance faite,,info@domainedepietrella.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Sant Armettu,,,relance faite,,contact@santarmettu.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Granajolo,,,relance faite,,info@granajolo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Zuria,,,"Contacté, sans réponse",,accueil@domainezuria.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Canarelli,,,relance faite,,closcanarelli2a@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Tanella,,,relance faite,,contact@domaine-tanella.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Torraccia,,,relance faite,,torracciaoriu@wanadoo.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de San Gavino,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Peretti della Rocca,,,mauvais mail,,contact@domaineperettidellarocca.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Vecchio,,,mauvais mail,,domaine.vecchio@wanadoo.fr,,,,,,,,,,,,,,
,Démarchage en nature,Clos Paoli,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Saparale,,,relance faite,,contact@saparale.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine San Micheli,,,mauvais mail,,domaine.san.micheli@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Fiumicicoli,,,relance faite,,contact@fiumicicoli.corsica,,,,,,,,,,,,,,
,Démarchage en nature,Clos Fornelli,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Pero Longo,,,relance faite,,contact@perolongo.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Renucci,,,relance faite,,contact@domaine-renucci.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Culombu,,,relance faite,,contact.culombu@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Alzipratu,,,Validé,,reservationalzipratu@gmail.com,,Estelle Ponthieux Giamarchi et bureau@alzipratu.com,"3 bouteilles –AOP Corse Calvi  Cuvée   « Pumonte » rouge 2022
3 bouteilles –AOP Corse Calvi  Cuvée  « Pumonte » blanc 2024",,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Landry,,,relance faite,,vinscloslandry@gmail.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Maestracci,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Castellu di Baricci,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Poggiale,,,relance faite,,boutique@terra-vecchia.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Clos Venturi,,,Validé,,contact@domainevico.com,,boutique@domainevico.com et Claire Chomel ,6 clos venturi Blanc IP 2022 et  6 domaine vico les parcellaires U fornu rouge 2022,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Signadore,,,relance faite,t,contact@signadore.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Uvalone,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de Pratavone,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Fior di Lecci,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Vico,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de Mavella,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Terra di Catoni,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine U Stiliccionu,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Pieretti,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Clos Nicrosi,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Casabianca,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Casanova,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos San Quilico,,,relance faite,,contact@sanquilico.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de Musoleu,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Boccheciampe,,,relance faite,,domaine.boccheciampe@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Revelette,,,relance faite,,chateaurevelette@orange.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Schoffit,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Kamm & Fils,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Albert Seltz,,,relance faite,,info@albert-seltz.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Emile Beyer,,,relance faite,,info@emile-beyer.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Ginglinger-Fix,,,mauvais mail,,contact@ginglinger-fix.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Stoeffler,,,relance faite,,info@vins-stoeffler.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Sylvie Spielmann,,,relance faite,,contact@sylviespielmann.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Fernand Engel,,,relance faite,,info@fernand-engel.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Charles Frey,,,"Contacté, sans réponse",,contact@charles-frey.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Binner,,,"Contacté, sans réponse",,a-la-tienne@alsace-binner.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Hubert Metz,,,"Contacté, sans réponse",,contact@hubertmetz.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Léon Heitzmann,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Gérard Neumeyer,,,"Contacté, sans réponse",,contact@gerardneumeyer.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Seppi Landmann,,,"Contacté, sans réponse",,contact@seppi-landmann.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Laurent Bannwarth,,,"Contacté, sans réponse",,laurent@bannwarth.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Antoine Lienhardt,,,"Contacté, sans réponse",,antoinelienhardt.domaine@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Yves Amberg,,,"Contacté, sans réponse",,amberg.yves@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Schoenheitz,,,"Contacté, sans réponse",,caveau@vins-schoenheitz.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Lucien Albrecht,,,"Contacté, sans réponse",,contact@lucien-albrecht.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Fuchs et Fils,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Paul Ginglinger,,,"Contacté, sans réponse",,info@paul-ginglinger.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Ernest Burn,,,"Contacté, sans réponse",,contact@domaine-burn.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Lucien Jacob,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine J.P. Scharsch,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Müller-Koeberlé,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Bruno Clair,,,"Contacté, sans réponse",,domaine@brunoclair.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Joseph Roty,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Charles Audoin,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Sylvain Pataille,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Collette,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Huguenot,,,"Contacté, refus",,contact@domainehuguenot.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Jean Fournier,,,"Contacté, sans réponse",,contact@domaine-fournier.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Coillot,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Régis Bouvier,,,"Contacté, sans réponse",,contact@rene-lamy.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Joliet,,,"Contacté, sans réponse",,contact@domainejoliet.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Guy & Yvan Dufouleur,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine du Clos Saint-Louis,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Philippe Naddef,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Pierre Naigeon,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Dugat-Py,,,"Contacté, sans réponse",,contact@dugat-py.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Duroché,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Claude Dugat,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Jean-Marie Fourrier,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Pierre Damoy,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Trapet Père et Fils,,,"Contacté, sans réponse",,message@trapet.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Rossignol-Trapet,,,"Contacté, sans réponse",,info@rossignol-trapet.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Harmand-Geoffroy,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Marc Roy,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Denis Bachelet,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Humbert Frères,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Sylvie Esmonin,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Philippe Charlopin,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Henri Rebourseau,,,"Contacté, refus",,domaine@rebourseau.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine René Leclerc,,,"Contacté, sans réponse",,contact@domainereneleclerc.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Christian Serafin,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Geantet-Pansiot,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Dujac,,,mauvais mail,,contact@dujac.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Lambrays,,,"Contacté, sans réponse",,clos@lambrays.com // https://www.lambrays.com/contact/,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Hubert Lignier,,,"Contacté, sans réponse",,contact@hubert-lignier.com // https://hubert-lignier.com/fr/contact,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Michel Magnien,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Perrot-Minot,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Lignier-Michelot,,,Non contacté,,contact@domainevirgileligniermichelot.fr // https://domainevirgileligniermichelot.fr/,,https://www.lacaveduclosmaillard.fr/contact.rub-103/,,,,,,,,,,,,
,Démarchage en nature,Domaine Georges Lignier,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Taupenot-Merme,,,Non contacté,,,,https://www.domainemagnien.com/index.php/contact,,,,,,,,,,,,
,Démarchage en nature,Domaine Stéphane Magnien,,,"Contacté, sans réponse",,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Pierre Amiot et Fils,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Monts Luisants,,,"Contacté, sans réponse",,contact@domainedesmontsluisants.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Charlopin-Parizot,,,mauvais mail,,contact@domaine-charlopin-parizot.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Dujardin,,,mauvais mail,,contact@domaine-dujardin.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Clos des Lambrays,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Comte Georges de Vogüé,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Ghislaine Barthod,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Jacques-Frédéric Mugnier,,,"Contacté, refus",,info@mugnier.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Amiot-Servelle,,,"Contacté, refus",,domaine@amiot-servelle.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Anne et Hervé Sigaut,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Hudelot-Noëllat,,,"Contacté, sans réponse",,contact@domaine-hudelot-noellat.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Georges Roumier,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Christophe Roumier,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Bertheau,,,"Contacté, sans réponse",,ddb.reservation@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Christian Clerget,,,"Contacté, sans réponse",,domainechristianclerget@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Digioia-Royer,,,"Contacté, sans réponse",,micheldigioia@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Joseph Drouhin,,,"Contacté, sans réponse",,maisondrouhin@drouhin.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Laurent Roumier,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Méo-Camuzet,,,Validé,,,,https://www.meo-camuzet.com/fr/contact/contacts,annelise@meo-camuzet.com,6 bouteilles de Fixin 2018,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Mugneret-Gibourg,,,"Contacté, sans réponse",,dgm@mugneret-gibourg.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Robert Groffier,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine d’Eugénie,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Château de la Tour,,,"Contacté, sans réponse",,contact@lechateaudelatour.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine René Engel,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Anne Gros,,,"Contacté, sans réponse",,,,https://www.anne-gros.com/en/contact-2/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Gros Frère et Sœur,,,"Contacté, sans réponse",,,,https://www.gros-frere-et-soeur.com/fr_FR/contact/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Jean Grivot,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Louis Jadot,,,"Contacté, sans réponse",,,03 80 26 31 98,https://www.louisjadot.com/contacter-nous,,,,,,,,,,,,
,Démarchage en nature,Domaine Mongeard-Mugneret,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Thibault Liger-Belair,,,"Contacté, sans réponse",,contact@thibaultligerbelair.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Vougeraie,,,"Contacté, sans réponse",,vougeraie@domainedelavougeraie.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de la Romanée-Conti,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Emmanuel Rouget,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Georges Noëllat,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Sylvain Cathiard,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Michel Gros,,,Non contacté,,,,,,,,,,,,,,,,
