Membre de SDC,Catégorie,Château / Entreprise,Statut de la demande,Pôle concerné,Prénom,Nom,Région,Mail,Poste,Téléphone ,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ? ,"Si oui, quel type ? "
Antoine/Cédric,Démarchage en nature,Aquadro Delphine,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Azur Wine Selection,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Bagarry - Gueguen,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Baratonne,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Barthes Diffusion,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Barton Et Guestier,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Bastide Ciselette,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Bastide De Blacailloux,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Bastide Des Bertrands,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Bastide Des Deux Lunes,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,1. Château BATAILLEY – Pauillac,"Contacté, sans réponse",Défi de Bacchus,,Mél général,,domaines@borie-manoux.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,2. Château HAUT-BATAILLEY – Pauillac,"Contacté, sans réponse",Défi de Bacchus,,Mél général,,hlefranc@jmcazes.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,3. Château GRAND-PUY-LACOSTE – Pauillac,"Contacté, sans réponse",Défi de Bacchus,Borie,Mél général ,,dfxb@domainesfxborie.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,4. Château GRAND-PUY DUCASSE – Pauillac,"Contacté, sans réponse",Défi de Bacchus,,Mél général ,, contact@cagrandscrus.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,5. Château LYNCH-BAGES – Pauillac,"Contacté, refus",Défi de Bacchus,Leray,Mél général ; Respo ,,contact@lynchbages.com ; ileray@jmczes.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,6. Château LYNCH-MOUSSAS – Pauillac,"Contacté, sans réponse",Défi de Bacchus,,Mél général ; Respo ,,documentation@borie-manoux.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,7. Château DAUZAC – Margaux,"Contacté, sans réponse",Défi de Bacchus,,Mél général,,contact@chateaudauzac.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,8. Château d’ARMAILHAC – Pauillac,"Contacté, sans réponse",Défi de Bacchus,,Mél général ; assistante de direction,,webmaster@bpdr.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,9. Château du TERTRE – Margaux,"Contacté, sans réponse",Défi de Bacchus,,Assistant de direction,,reservations@chateaudutertre.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,10. Château HAUT-BAGES LIBÉRAL – Pauillac,"Contacté, sans réponse",Défi de Bacchus,,Mél général ; assistante de direction,,boutique@hautbagesliberal.com ; infos@ferriere.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,11. Château PÉDESCLAUX – Pauillac,Validé,Défi de Bacchus,Ceres,mél général,,contact@chateau-pedesclaux.com,,,6,Récupérées par Allan,"6 bouteilles Château Lilian Ladouys 2018, 2 bouteilles Château Pédesclaux",,,,Non,
Antoine/Cédric,Démarchage en nature,12. Château BELGRAVE – Haut-Médoc,"Contacté, sans réponse",Défi de Bacchus,,mél général,,accueil@arvitis.com ; à l'attention de Dourthe,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,13. Château de CAMENSAC – Haut-Médoc,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,14. Château COS LABORY – Saint-Estèphe,"Contacté, sans réponse",Défi de Bacchus,,mél général,,contact@cos-labory.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,15. Château CLERC MILON – Pauillac,"Contacté, sans réponse",Défi de Bacchus,,mél général ; directrice du Château,,caroline artaud cartaud@bphr.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,16. Château CROIZET-BAGES – Pauillac,"Contacté, sans réponse",Défi de Bacchus,Pesenti,mél général,,contact@domaines-quie.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,17. Château CANTEMERLE – Haut-Médoc,Validé,Défi de Bacchus,,mél général,,cantemerle@cantemerle.com,,,4,Récupérées par Allan,"4 bouteilles de Château Grand Corbin 2016, 2 bouteilles Château Cantemerle",,,,Non,
Antoine/Cédric,Démarchage en nature,"18. Château d’Yquem, Sauternes, AOC Sauternes","Contacté, sans réponse",Défi de Bacchus,,mél général,,contact@yquem.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,19. Château LA TOUR BLANCHE – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,mél général,,tour-blanche@tour-blanche.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,20. Château LAFAURIE-PEYRAGUEY – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,mél général,,info@vignobles-silvio-denz.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,21. Clos HAUT-PEYRAGUEY – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,mél général,,accueil@pape-clément.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,22. Château de RAYNE VIGNEAU – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Laroque,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Bastide Des Terres Blanches,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Benoit Chapelle,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Berli,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Bois Des Demoiselles,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Luneau Papin,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Castel Freres,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Castel Frères Béziers,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Castel Freres Blanquefort,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Castel Frères Saint Priest,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Castel Frères Thiais,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Suduiraut – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,contact@suduiraut.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Coutet – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,info@chateaucoutet.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Climens – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,contact@chateau-climens.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Guiraud – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,accueil@chateauguiraud.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Rieussec – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,rieussec@lafite.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Rabaud-Promis – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,contact@rabaud-promis.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Sigalas Rabaud – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,chateausigalasrabaud@gmail.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau de Myrat – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,myrat@chateaudemyrat.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Doisy Daëne – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,contact@denisdubourdieu.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Doisy-Dubroca – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,contact@denisdubourdieu.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Doisy-Védrines – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,doisy-vedrines@orange.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau d'Arche – Sauternes,"Contacté, refus",Défi de Bacchus,,,,reservation@chateau-arche.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Filhot – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,filhot@filhot.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Broustet – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Nairac – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,contact@chateaunairac.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Caillou – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,contact@chateaucaillou.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Suau – Barsac,"Contacté, sans réponse",Défi de Bacchus,,,,contact@chateausuau.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau de Malle – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau de Romer du Hayot – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Romer – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,vins@janoueixfrancois.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Lamothe – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,info@chateau-lamothe.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Lamothe-Guignard – Sauternes,"Contacté, sans réponse",Défi de Bacchus,,,,contact@chateau-lamothe-guignard.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Langoa Barton – Saint-Julien,"Contacté, sans réponse",Défi de Bacchus,,,,chateau@barton-family-wines.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Giscours – Margaux,"Contacté, refus",Défi de Bacchus,,,,l.bastard@chateau-giscours.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Malescot Saint-Exupéry – Margaux,"Contacté, sans réponse",Défi de Bacchus,,,,malescotstexupery@exupery.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Boyd-Cantenac – Margaux,"Contacté, sans réponse",Défi de Bacchus,,,,contact@boyd-cantenac.fr ; administration@boyd-cantenac.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Cantenac Brown – Margaux,"Contacté, refus",Défi de Bacchus,,,,contact@cantenac-brown.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Palmer – Margaux,"Contacté, sans réponse",Défi de Bacchus,,,,dantenolleau@chateau-palmer.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau La Lagune – Haut-Médoc,"Contacté, sans réponse",Défi de Bacchus,,,,contact@chateau-lalagune.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Desmirail – Margaux ,Validé,Défi de Bacchus,,,,contact@desmirail.com,,,12,Récupérées par Allan,12 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Calon Ségur – Saint-Estèphe,"Contacté, sans réponse",Défi de Bacchus,,,,calon-segur@calon-segur.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Ferrière – Margaux,"Contacté, sans réponse",Défi de Bacchus,,,,boutique@ferriere.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Marquis d'Alesme Becker – Margaux,"Contacté, sans réponse",Défi de Bacchus,,,,contact@marquis.wine,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Saint-Pierre – Saint-Julien,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Talbot – Saint-Julien ,"Contacté, sans réponse",Défi de Bacchus,,,,talbot@chateau-talbot.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Branaire-Ducru – Saint-Julien,"Contacté, sans réponse",Défi de Bacchus,,,,branaire@branaire.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Duhart–Milon – Pauillac,"Contacté, sans réponse",Défi de Bacchus,,,,visites@lafitte.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Pouget – Margaux,"Contacté, refus",Défi de Bacchus,,,,contact@chateau-puget.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau La Tour Carnet – Haut-Médoc,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Lafon-Rochet – Saint-Estèphe,"Contacté, sans réponse",Défi de Bacchus,,,,lafont@lafont-rochet.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Beychevelle – Saint-Julien ,"Contacté, sans réponse",Défi de Bacchus,,,,beychevelle@beychevelle.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Prieuré-Lichine – Margaux,"Contacté, sans réponse",Défi de Bacchus,,,,l.latrille@prieuré-lichine.fr,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Marquis de Terme – Margaux,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Jouvente,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Allan,6 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Pontet-Canet – Pauillac,"Contacté, sans réponse",Défi de Bacchus,,,,info@pontet-canet.com,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Ausone,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau figeac,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Beausejour,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Magdelaine,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Pavie,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Clos Fourtet,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Troplong Mondot,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Soutard,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Ferrand,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Dassault –  Château Faurie de Souchard –  Château La Fleur,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Fonplégade,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,Oui à retenter une prochaine fois,
Antoine/Cédric,Démarchage en nature,Chateau Fonraque,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Laroque,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Larcis Durcasse,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Ferraud,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Salon - Delamotte,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau de Pressac,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Canon,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Falfas,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Fougasse,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Bel-Air,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Siaurac,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Castel Frères Vidauban,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Pegau,Validé,Défi de Bacchus,,,,,,,6,Lead donné à Martin pour livraison,6 bouteilles (suivi sur email sup de coco),,,,,
Antoine/Cédric,Démarchage en nature,Cave De Rousset,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave De Capelude,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave De La Pretrise,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave Des Coteaux De Lancon,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave Des Vignerons Londais,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave Du Lycee Valabre,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave Fontaillade,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave Saint André,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cave Viticole La Corrensoise,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Caveau Deï Bormani,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cecile Garcia,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Caves D'esclans,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cellier De La Crau,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cellier De Mont-Major,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cellier De Signes,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cellier Des 3 Collines,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cellier Des Archers,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cellier Des Pradeaux,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cellier Lou Bassaquet,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cellier Saint Augustin,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chapoutier,Validé,Défi de Bacchus,,,,,,,9,A récup,6+3 lots,,,,,
Antoine/Cédric,Démarchage en nature,Champagne deutz,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine des Comtes Lafon,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Thomas Morey,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Cepage De Mediterranee Siège,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Lauzade,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Maime,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Angueiroun,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Pierre Morey,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine de la Bongran,Validé,Défi de Bacchus,,,,,,,3,Récupérées par Allan,3 bouteilles,,,,Non,
Antoine/Cédric,Démarchage en nature,Vignobles Levet,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Xavier Vignon,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,Non,
Antoine/Cédric,Démarchage en nature,Domaine des Remizières,Validé,Défi de Bacchus,,,,,,,1,Récupérées par Allan,1 bouteille de Crozes-Hermitage rouge,,,,Non,
